price,Area,Location,latitude,longitude,No. of Bedrooms,Resale,VaastuCompliant,nearbyresources,essentials
60,850,Acharya Jagadish Chandra Bose Road,22.5409366,88.3413131,2,1,0,0000000000000,00000
42,1470,Action Area I,22.57473375,88.48236418590506,3,1,0,0000000000000,00000
34,962,Action Area I,22.57473375,88.48236418590506,2,1,0,0000000000000,00000
101,1550,Action Area II Newtown,22.6231943,88.4437332,3,0,0,0000000000000,00000
125,853,Airport,22.5054448,88.29400868673707,3,1,0,0000000000000,00000
31,1210,Airport,22.5054448,88.29400868673707,2,0,0,0000000000000,00000
23,1276,Airport,22.5054448,88.29400868673707,3,0,0,0000000000000,00000
32,4527,Alipore,22.5251784,88.3308629,3,0,0,0000000000000,00000
33,4696,Alipore,22.5251784,88.3308629,4,0,0,0000000000000,00000
30,3000,Alipore,22.5251784,88.3308629,4,1,0,0000000000000,00000
26,2800,Alipore,22.5251784,88.3308629,3,1,0,0000000000000,00000
26,3440,Alipore,22.5251784,88.3308629,5,1,0,0000000000000,00000
50,1360,Alipore,22.5251784,88.3308629,2,1,0,0000000000000,00000
21,3440,Alipore,22.5251784,88.3308629,5,0,0,0000000000000,00000
108,813,Alipore,22.5251784,88.3308629,2,0,0,0000000000000,00000
54,960,Anandapur,22.5142557,88.4098863046898,3,0,0,0000000000000,00000
30,1250,Anandapur,22.5142557,88.4098863046898,3,1,0,0000000000000,00000
110,1022,Anandapur,22.5142557,88.4098863046898,2,0,0,0000000000000,00000
90,1595,Ashok Nagar,22.4845459,88.3469837,3,0,0,0000000000000,00000
108,750,Ashok Nagar,22.4845459,88.3469837,2,1,0,0000000000000,00000
34,650,Ashok Nagar,22.4845459,88.3469837,2,0,0,0000000000000,00000
115,1110,Ashok Nagar,22.4845459,88.3469837,3,1,0,0000000000000,00000
21,632,Babu Bagan,22.5084091,88.3691149,2,0,0,0000000000000,00000
125,750,Babu Bagan,22.5084091,88.3691149,2,1,0,0000000000000,00000
96,1580,Baghajatin,22.4838805,88.3754447,3,0,0,0000000000000,00000
50,820,Baghajatin,22.4838805,88.3754447,2,0,0,0000000000000,00000
35,1250,Baghajatin,22.4838805,88.3754447,3,1,0,0000000000000,00000
35,740,Baghajatin,22.4838805,88.3754447,2,1,0,0000000000000,00000
30,800,Baguiati,22.616396,88.4278599,1,0,0,0000000000000,00000
34,890,Baguiati,22.616396,88.4278599,2,1,0,0000000000000,00000
25,890,Baguiati,22.616396,88.4278599,2,0,0,0000000000000,00000
67,2450,Baguiati,22.616396,88.4278599,4,0,0,0000000000000,00000
78,800,Baguiati,22.616396,88.4278599,3,0,0,0000000000000,00000
24,896,Baguiati,22.616396,88.4278599,1,1,0,0000000000000,00000
26,800,Baguiati,22.616396,88.4278599,2,0,0,0000000000000,00100
20,2400,Baguiati,22.616396,88.4278599,4,1,0,0000000000000,00000
30,1700,Baguiati,22.616396,88.4278599,3,1,0,0000000000000,00000
23,2400,Ballygunge,22.5280337,88.3659084,4,1,0,0000000000000,00000
55,4640,Ballygunge,22.5280337,88.3659084,6,1,0,0000000000000,00000
30,1846,Ballygunge,22.5280337,88.3659084,2,1,0,0000000000000,00000
58,1904,Ballygunge,22.5280337,88.3659084,3,0,0,0000000000000,00000
64,4250,Ballygunge,22.5280337,88.3659084,5,1,0,0000000000000,00000
27,3600,Ballygunge,22.5280337,88.3659084,4,0,0,0000000000000,00000
23,1800,Ballygunge,22.5280337,88.3659084,3,1,0,0000000000000,00000
83,600,Ballygunge,22.5280337,88.3659084,1,0,0,0000000000000,00000
20,1466,Ballygunge,22.5280337,88.3659084,2,0,0,0000000000000,00000
25,1990,Bangur,22.5380171,88.3403304551972,4,0,0,0000000000000,00000
47,2028,Bangur,22.5380171,88.3403304551972,3,0,0,0000000000000,00000
65,1200,Bangur,22.5380171,88.3403304551972,2,1,0,0000000000000,00000
80,930,Bangur,22.5380171,88.3403304551972,2,0,0,0000000000000,00000
90,560,Bangur,22.5380171,88.3403304551972,1,0,0,0000000000000,00000
30,799,Bangur avenue,22.6068854,88.4107265,2,1,0,0000000000000,00000
23,1609,Bansdroni,22.4707691,88.3618078,3,0,0,0000000000000,00000
24,750,Bansdroni,22.4707691,88.3618078,2,1,0,0000000000000,00000
135,990,Bansdroni,22.4707691,88.3618078,2,0,0,0000000000000,00000
38,900,Bansdroni,22.4707691,88.3618078,3,1,0,0000000000000,00000
32,620,Bansdroni,22.4707691,88.3618078,1,0,0,0000000000000,00000
23,500,Bansdroni,22.4707691,88.3618078,1,1,0,0000000000000,00000
42,1150,Baranagar,22.6467949,88.3740078,3,0,0,0000000000000,00000
940,1935,Baranagar,22.6467949,88.3740078,4,0,0,0000000000000,00000
46,725,Baranagar,22.6467949,88.3740078,2,0,0,0000000000000,00000
30,690,Baranagar,22.6467949,88.3740078,2,1,0,0000000000000,00000
55,1450,Baranagar,22.6467949,88.3740078,3,1,0,0000000000000,00000
32,1200,Barasat,22.7240295,88.4889199,3,0,0,0000000000000,00000
22,1016,Barasat,22.7240295,88.4889199,3,0,0,1111100000001,10110
27,940,Barasat,22.7240295,88.4889199,3,1,0,0000000000000,00000
44,936,Barasat,22.7240295,88.4889199,2,0,0,0000000000000,00000
43,970,Barisha,22.4621691,88.2856024,2,0,0,0000000000000,00000
21,1013,Barisha,22.4621691,88.2856024,3,0,0,0000000000000,00000
110,1308,Barrackpore,22.64462075,88.3761585109337,3,1,0,0000000000000,00000
31,1100,Barrackpore,22.64462075,88.3761585109337,3,0,0,0000000000000,00000
43,844,Barrackpore,22.64462075,88.3761585109337,2,0,0,0000000000000,00000
70,1250,Beckbagan,22.5408326,88.3592162,3,1,0,0000000000000,00000
55,1168,Behala,22.501572,88.3209435,3,0,0,0000000000000,00000
38,1100,Behala,22.501572,88.3209435,2,0,0,0000000000000,00000
70,1350,Behala,22.501572,88.3209435,3,1,0,0000000000000,00000
58,997,Behala,22.501572,88.3209435,2,1,0,0000000000000,00000
69,690,Behala,22.501572,88.3209435,1,1,0,0000000000000,00000
62,1050,Behala,22.501572,88.3209435,1,0,0,0000000000000,00000
52,1685,Behala,22.501572,88.3209435,4,1,0,0000000000000,00000
20,2200,Behala,22.501572,88.3209435,4,0,0,0000000000000,00000
43,1113,Behala,22.501572,88.3209435,3,0,0,1110001010001,11110
94,1203,Behala Chowrasta,22.4873548,88.3133794,3,0,0,0000000000000,00000
45,880,Behala Chowrasta,22.4873548,88.3133794,2,0,0,0000000000000,00000
23,1173,Behala Thana,22.5035284,88.3190032,3,0,0,0000000000000,00000
29,1584,Belgachia,22.6059241,88.3863913,4,1,0,0000000000000,00000
40,1494,Belghoria,22.6564623,88.44672798751654,3,1,0,0000000000000,00000
78,650,Belghoria,22.6564623,88.44672798751654,2,1,0,0000000000000,00000
30,1100,Belghoria,22.6564623,88.44672798751654,3,0,0,0000000000000,00000
65,1046,Belghoria,22.6564623,88.44672798751654,2,0,0,0000000000000,00000
220,1119,Belghoria Expressway,22.6564623,88.44672798751654,3,0,0,0000000000000,00000
275,774,Belghoria Expressway,22.6564623,88.44672798751654,2,0,0,0000000000000,00000
96,3138,Beliaghata,22.5506557,88.40391715,4,0,0,0000000000000,00000
63,1870,Beliaghata,22.5506557,88.40391715,3,0,0,0000000000000,00000
30,800,Beliaghata,22.5506557,88.40391715,2,0,0,0000000000000,00000
140,2100,Beniapukur,22.5490749,88.3683399,6,1,0,0000000000000,00000
420,1650,Beniapukur,22.5490749,88.3683399,3,1,0,0000000000000,00000
99,1300,Beniapukur,22.5490749,88.3683399,2,1,0,0000000000000,00000
52,780,Bijoygarh,22.4872704,88.3685589,2,1,0,0000000000000,00000
82,700,Bijoygarh,22.4872704,88.3685589,2,0,0,0000000000000,00000
23,1203,Biren Roy Road,22.4851497,88.3078775,3,0,0,0000000000000,00000
66,991,Biren Roy Road,22.4851497,88.3078775,2,0,0,0000000000000,00000
41,982,Biren Roy Road West,22.4851497,88.3078775,2,0,0,0000000000000,00000
24,1572,Block O,22.5071296,88.33702637255445,3,0,0,0000000000000,00000
35,1301,Boral,22.4347989,88.3761823,3,1,0,0000000000000,00000
37,740,Boral,22.4347989,88.3761823,2,0,0,0000000000000,00000
75,480,Bow Bazaar,22.5725398,88.3524126,1,1,0,0000000000000,00000
53,780,Bow Bazaar,22.5725398,88.3524126,2,1,0,0000000000000,00000
27,2100,Bow Bazaar,22.5725398,88.3524126,5,1,0,0000000000000,00000
115,750,Brahmapur Road,22.4599211,88.3645083,2,1,0,0000000000000,00000
50,800,Brahmapur Road,22.4599211,88.3645083,3,1,0,0000000000000,00000
136,892,Brahmapur Road,22.4599211,88.3645083,2,0,0,0000000000000,00000
49,750,Brahmapur Road,22.4599211,88.3645083,1,1,0,0000000000000,00000
62,1600,Camac Street,22.5433581,88.3521058,3,1,0,0000000000000,00000
89,820,Chatterjee Bagan,22.5100145,88.3493121,3,0,0,0000000000000,00000
122,850,Chingrighata,22.5586562,88.4108018,2,0,0,0000000000000,00000
170,1400,College Square,22.5745254,88.3644645,3,1,0,0000000000000,00000
39,1987,Cossipore,22.6173485,88.3737337,4,0,0,0000000000000,00000
106,1987,Cossipore,22.6173485,88.3737337,4,1,0,0000000000000,00000
26,1565,Cossipore,22.6173485,88.3737337,3,1,0,0000000000000,00000
46,1530,Cossipore,22.6173485,88.3737337,3,0,0,0000000000000,00000
67,1150,Dakshineswar,22.654827,88.35757762289637,3,1,0,0000000000000,00000
25,1250,Dakshineswar,22.654827,88.35757762289637,3,0,0,0000000000000,00000
50,1030,Dakshineswar,22.654827,88.35757762289637,2,0,0,0000000000000,00000
34,1225,Dhakuria,22.5094085,88.371185,3,0,0,0000000000000,00000
55,920,Dhakuria,22.5094085,88.371185,2,1,0,0000000000000,00000
28,800,Dhakuria,22.5094085,88.371185,2,0,0,0000000000000,00000
43,600,Dhakuria Station Road,22.5095496,88.3695441,2,0,0,0000000000000,00000
57,1000,Dhakuria Station Road,22.5095496,88.3695441,3,1,0,0000000000000,00000
69,750,Dhakuria Station Road,22.5095496,88.3695441,2,1,0,0000000000000,00000
125,2440,Dhapa,22.5478233,88.4002314,3,1,0,0000000000000,00000
50,2300,Dhapa,22.5478233,88.4002314,4,1,0,0000000000000,00000
39,1065,Dhapa,22.5478233,88.4002314,2,0,0,0000000000000,00000
37,728,Dharmatala Road,22.5207534,88.3853744,2,1,0,0000000000000,00000
57,1476,Dum Dum,22.6211141,88.3928973,3,0,0,0000000000000,00000
23,1126,Dum Dum,22.6211141,88.3928973,2,0,0,0000000000000,00000
20,1947,Dum Dum,22.6211141,88.3928973,4,0,0,0000000000000,00000
25,1360,Dum Dum,22.6211141,88.3928973,2,1,0,0000000000000,00000
215,1130,Dum Dum,22.6211141,88.3928973,3,1,0,0000000000000,00000
26,800,Dum Dum,22.6211141,88.3928973,1,0,0,0000000000000,00000
130,2210,Dum Dum,22.6211141,88.3928973,4,0,1,1111111010111,11110
25,858,Dum Dum,22.6211141,88.3928973,2,0,0,0000000000000,01010
110,1920,Dum Dum,22.6211141,88.3928973,3,0,1,1111111010111,11110
79,1310,Dum Dum,22.6211141,88.3928973,2,0,1,1111111010111,11110
34,872,Dum Dum,22.6211141,88.3928973,2,0,0,0000000000000,10110
170,1426,Dum Dum Park,22.6210988,88.39782553063668,3,1,0,0000000000000,00000
41,835,Dum Dum Park,22.6210988,88.39782553063668,2,1,0,0000000000000,00000
92,1217,Dum Dum Park,22.6210988,88.39782553063668,1,1,0,1111111010101,10110
33,1420,Dunlop,22.6467949,88.3740078,3,1,0,0000000000000,00000
50,920,Dunlop,22.6467949,88.3740078,2,1,0,0000000000000,00000
34,1565,Durgapur,22.5222498,88.3203872,3,0,0,0000000000000,00000
503,1194,Durgapur,22.5222498,88.3203872,2,0,0,0000000000000,00000
127,2518,Elgin,22.5373748,88.34756170104649,4,1,0,0000000000000,00000
57,5100,Elgin,22.5373748,88.34756170104649,4,0,0,0000000000000,00000
23,1100,Elgin,22.5373748,88.34756170104649,2,1,0,0000000000000,00000
31,1550,Elgin,22.5373748,88.34756170104649,3,1,0,0000000000000,00000
33,980,Garfa,22.5062108,88.3839871,2,0,0,0000000000000,00000
67,1404,Garfa,22.5062108,88.3839871,3,1,0,0000000000000,00000
32,1500,Garfa,22.5062108,88.3839871,3,0,0,0000000000000,00000
21,1496,Garia,22.4727076,88.3977962,3,1,0,0000000000000,00000
26,1400,Garia,22.4727076,88.3977962,3,0,0,0000000000000,00000
31,1020,Garia,22.4727076,88.3977962,2,1,0,0000000000000,00000
54,1139,Garia,22.4727076,88.3977962,2,0,0,0000000000000,00000
41,1959,Garia,22.4727076,88.3977962,4,0,0,0000000000000,00000
38,1959,Garia,22.4727076,88.3977962,4,1,0,0000000000000,00000
33,675,Garia,22.4727076,88.3977962,1,1,0,0000000000000,00000
36,1055,Garia,22.4727076,88.3977962,1,0,0,0000000000000,00000
110,1200,Gariahat,22.5194835,88.3650649,3,1,0,0000000000000,10100
207,2320,Gariahat,22.5194835,88.3650649,4,0,0,0000000000000,00000
141,4891,Gariahat,22.5194835,88.3650649,5,1,0,0000000000000,00000
210,1650,Gariahat,22.5194835,88.3650649,3,1,0,0000000000000,00000
35,1300,Gariahat,22.5194835,88.3650649,2,1,0,0000000000000,00000
66,1150,Ghosh Para,22.62443735,88.40193618428296,3,0,0,0000000000000,00000
29,1250,Gitanjali Park,22.4706784,88.35538143911252,2,0,0,0000000000000,00000
77,850,Golf Green,22.4913328,88.3618382,2,1,0,0000000000000,00000
45,813,Haltu,22.510785,88.381874,2,0,0,0000000000000,00000
630,750,Haltu,22.510785,88.381874,2,1,0,0000000000000,00000
63,1431,Haltu,22.510785,88.381874,3,0,0,0000000000000,00000
23,1070,Haltu,22.510785,88.381874,3,1,0,0000000000000,00000
27,500,Haltu,22.510785,88.381874,1,0,0,0000000000000,00000
27,1300,Hazra,22.5227232,88.3499241,3,0,0,0000000000000,00000
50,1400,Hazra,22.5227232,88.3499241,3,1,0,0000000000000,00000
75,964,Hooghly Chinsurah,22.7326552,88.36026136074123,3,0,0,0000000000000,00000
26,769,Hooghly Chinsurah,22.7326552,88.36026136074123,2,1,0,0000000000000,00000
101,1138,Hooghly Chinsurah,22.7326552,88.36026136074123,2,0,0,0000000000000,00000
23,852,Hooghly Chinsurah,22.7326552,88.36026136074123,2,0,1,0000000000000,11110
300,888,Howrah,22.5844844,88.349294,3,0,0,0000000000000,00000
60,1110,Howrah,22.5844844,88.349294,2,0,0,0000000000000,00000
35,1785,Howrah,22.5844844,88.349294,4,0,0,0000000000000,00000
28,625,Howrah,22.5844844,88.349294,1,0,0,0000000000000,00000
39,997,Howrah,22.5844844,88.349294,3,1,0,0000000000000,00000
171,2585,Howrah,22.5844844,88.349294,5,0,0,0000000000000,00000
55,1030,Howrah,22.5844844,88.349294,1,1,0,0000000000000,00000
49,860,Howrah,22.5844844,88.349294,2,1,0,0000000000000,00000
67,1325,Jadavpur,22.495499,88.3709006,3,0,0,0000000000000,00000
316,910,Jadavpur,22.495499,88.3709006,2,0,0,0000000000000,00000
22,820,Jadavpur,22.495499,88.3709006,2,1,0,0000000000000,00000
35,1600,Jadavpur,22.495499,88.3709006,3,1,0,0000000000000,00000
30,1725,Jatin Das Road,22.5171423,88.3566874,4,0,0,0000000000000,00000
45,945,Jessore Road,22.6081979,88.3947688,2,0,0,0000000000000,00000
92,560,Jessore Road,22.6081979,88.3947688,1,0,0,0000000000000,00000
81,2026,Jessore Road,22.6081979,88.3947688,3,0,0,0000000000000,00000
21,850,Jodhpur Gardens,22.5046177,88.3599573,2,1,0,0000000000000,00000
30,684,Jodhpur Park,22.5056055,88.363674,2,1,0,0000000000000,00000
29,1200,Jodhpur Park,22.5056055,88.363674,3,0,0,0000000000000,00000
220,904,Jodhpur Park,22.5056055,88.363674,2,0,0,0000000000000,00000
54,2800,Jodhpur Park,22.5056055,88.363674,6,1,0,0000000000000,00000
62,1500,Jodhpur Park,22.5056055,88.363674,3,1,0,0000000000000,00000
30,4456,Jodhpur Park,22.5056055,88.363674,5,0,0,0000000000000,00000
105,1224,Joginder Garden Lane,22.5145095,88.3894675,3,0,0,0000000000000,00000
33,940,Joka,22.44409665,88.30171460718338,2,0,0,0000000000000,00000
80,1370,Joka,22.44409665,88.30171460718338,3,0,0,0000000000000,00000
130,1440,Joka,22.44409665,88.30171460718338,3,1,0,0000000000000,00000
700,1160,Joka,22.44409665,88.30171460718338,1,1,0,0000000000000,00000
37,1179,Joka,22.44409665,88.30171460718338,3,0,0,1010100000101,11110
55,1265,Joka,22.44409665,88.30171460718338,2,1,0,0000000000000,00000
28,1674,Jorabagan,22.5903989,88.35712378303572,3,0,0,0000000000000,00000
115,1682,Jorabagan,22.5903989,88.35712378303572,3,1,0,0000000000000,00000
79,2773,Jorabagan,22.5903989,88.35712378303572,4,0,0,0000000000000,00000
80,1900,Kalighat,22.5153313,88.3477052,4,1,0,0000000000000,00000
29,1660,Kalighat,22.5153313,88.3477052,3,0,0,0000000000000,00000
853,1067,Kalighat,22.5153313,88.3477052,2,0,0,0000000000000,00000
255,1663,Kalighat,22.5153313,88.3477052,4,0,0,0000000000000,00000
34,1776,Kalighat,22.5153313,88.3477052,3,1,0,0000000000000,00000
69,750,Kalighat,22.5153313,88.3477052,1,1,0,0000000000000,00000
124,1500,Kalighat,22.5153313,88.3477052,2,1,0,0000000000000,00000
100,883,Kalitala Road,22.5062731,88.3987744,2,0,0,0000000000000,00000
88,1265,Kalitala Road,22.5062731,88.3987744,3,1,0,0000000000000,00000
211,2350,Kankurgachi,22.57897245,88.39151741636809,4,0,0,0000000000000,00000
20,693,Kankurgachi,22.57897245,88.39151741636809,2,0,0,0000000000000,00000
85,1870,Kankurgachi,22.57897245,88.39151741636809,3,0,0,0000000000000,00000
27,1300,Kankurgachi,22.57897245,88.39151741636809,3,1,0,0000000000000,00000
22,3548,Kankurgachi,22.57897245,88.39151741636809,4,1,0,0000000000000,00000
57,638,Kankurgachi,22.57897245,88.39151741636809,1,0,0,0000000000000,00000
215,4775,Kankurgachi,22.57897245,88.39151741636809,5,0,0,0000000000000,00000
127,2086,Kasba,22.5044355,88.3721663,4,0,0,0000000000000,00000
166,1830,Kasba,22.5044355,88.3721663,2,0,0,0000000000000,00000
61,1722,Kasba,22.5044355,88.3721663,3,0,0,0000000000000,00000
39,1742,Kasba,22.5044355,88.3721663,3,1,0,0000000000000,00000
32,655,Kasba,22.5044355,88.3721663,2,1,0,0000000000000,00000
23,2086,Kasba,22.5044355,88.3721663,4,1,0,0000000000000,00000
22,1214,Kasba,22.5044355,88.3721663,1,1,0,0000000000000,00000
36,540,Kasba,22.5044355,88.3721663,1,0,0,0000000000000,00000
49,1028,Keshtopur,22.5717279,88.41995689588131,2,1,0,0000000000000,00000
22,710,Keshtopur,22.5717279,88.41995689588131,1,0,0,0000000000000,00000
35,1140,Keshtopur,22.5717279,88.41995689588131,3,1,0,0000000000000,00000
40,800,Keshtopur,22.5717279,88.41995689588131,2,0,0,0000000000000,00000
50,1166,Keshtopur,22.5717279,88.41995689588131,3,0,0,0000000000000,00000
45,720,Keshtopur,22.5717279,88.41995689588131,1,1,0,0000000000000,00000
36,1111,Keshtopur,22.5717279,88.41995689588131,2,0,0,1011000000001,10010
20,1584,Keshtopur,22.5717279,88.41995689588131,4,1,0,0000000000000,00000
30,1131,Keyatala,22.5154157,88.362438,2,1,0,0000000000000,00000
59,1553,Kustia,22.5290324,88.37917248751748,3,1,0,0000000000000,00000
40,1100,Kustia,22.5290324,88.37917248751748,2,1,0,0000000000000,00000
210,850,Lake Gardens,22.5080547,88.3533289,2,0,0,0000000000000,00000
100,850,Lake Gardens,22.5080547,88.3533289,2,1,0,0000000000000,00000
78,1230,Lake Gardens,22.5080547,88.3533289,3,1,0,0000000000000,00000
38,1440,Lake Gardens,22.5080547,88.3533289,3,0,0,0000000000000,00000
24,4800,Lake Gardens,22.5080547,88.3533289,0,0,0,0000000000000,00000
82,1200,Lake Gardens,22.5080547,88.3533289,2,1,0,0000001010000,00101
52,2020,Lake Market,22.51637855,88.34872333799815,3,0,0,0000000000000,00000
24,1005,Lake Town,22.60010775,88.4066983,2,0,0,0000000000000,00000
94,1510,Lake Town,22.60010775,88.4066983,3,0,0,0000000000000,00000
128,1635,Lake Town,22.60010775,88.4066983,4,0,0,0000000000000,00000
220,1460,Lake Town,22.60010775,88.4066983,3,1,0,0000000000000,00000
26,504,Lake Town,22.60010775,88.4066983,1,0,0,0000000000000,00000
22,750,Lake Town,22.60010775,88.4066983,2,1,0,0000000000000,00000
23,1990,Lake Town,22.60010775,88.4066983,4,1,0,0000000000000,00000
80,1062,Maheshtala,22.5440241,88.2696868,3,1,0,0000000000000,00000
70,1236,Maheshtala,22.5440241,88.2696868,1,1,0,0000000000000,00000
